RATING,TITLE,VERIFIED,TEXT,DATE
3.0 out of 5 stars,A much needed Critical Analysis,,"Im not sure how popular this review will be but not many people seem to mention the negative points of the Switch so I thought I would go over some criticisms.THE BOXI actually like the design of the Box/Packaging in this new v2 model. Bright red with the black Nintendo switch in view. I know its just a box but it looks eye catching. If I saw it in a store as a kid I can imagine it standing out more than the PS4 or Xbox.Everything is neatly and compactly packed inside however the console itself is just placed in a plastic bag. There is no protective film over the screen and upon looking over mine with a fine toothcomb I noticed a tiny scratch under good lighting. Its not noticeable enough to return it but an annoyance on a brand new console.Would it have been so hard for Nintendo to cover the screen with a protective film or even ship it with a screen protector attached? Lots of phone manufacturers are doing that nowadays.THE CONSOLEFrom the front with no JoyCons connected it could be an Amazon Fire Tablet for anyone knows. Im surprised they didn't put any Nintendo branding on the front somewhere. There's certainly enough Bezel to put a logo at the top or bottom. The back has the Nintendo branding and logo however.The touchscreen is made from plastic which is somewhat surprising as Phones and Tablets have been using glass for years now. At the same time I get why they did it, a lot of kids are going to be using this and glass shatters a lot easier when dropped but it does lack that premium feel with plastic.The display is of the LCD variety so don't go expecting OLED quality. I say that because with everyone using high end smartphones and tablets these days we are so accustomed to a certain standard of quality. You may end up thinking ""huh this game would look a lot better on my phone"" and if you own a flagship such as the iPhone, Samsung or OnePlus you'd be right.The kickstand is something I will never use. You really need to be at a table or desk at an appropriate height or you're going to end up with neck and eyestrain. And to me it doesn't seem sturdy enough, the surface needs to be flat and you better make sure no one is around to accidentally knock it over. I'm not taking risks with a £300 console.If im going to nitpick the game cartridge cover could have been made better too. Its made from flexible plastic that bends backwards when you open it. Over time I can see that braking off then you're left with a large opening for dust to sink down into.THE DOCKOhboy lets start buy saying if you need to purchase a second one for whatever reason they retail at £80. This blows my mind. Because as you'll see when unpackaging it, its nothing more than a piece of light brittle plastic with a Nintendo logo on. There's some basic circuitry inside for the HDMI and power connection but nothing justifies that price. You may as well just start selling me cardboard for the same price Nintendo. Oh wait... Nintendo DO sell cardboard in the form of their Labo kits which cost anywhere between £40-£50 each. I don't know how someone can justify paying this amount for cardboard. The markup Nintendo makes on these kits must be outstanding. But its all about the Nintendo Quality right?QUALITY CONTROLThis must be the most poorly thought out and built Nintendo console yet. While at a surface level everything seems fine after owning it for a few days you notice some undesirable quirks.Docking the switch feels clumsy like you have to carefully move it down into place so as to not cause any damage. You don't want to just casually let it drop in because you have a USB Type-C port on the bottom and it doesn't require much force to damage these. Constantly docking the console over time is going to wear that port out if you're not careful then you could end up with intermittent charging or TV connection issues. In addition to that a number of people have reported the dock scratching their console when docking and undocking. This is because the touchscreen is made from plastic and the dock is made from a matte feeling scratchy plastic. Nintendo didn't even bother to put some soft material on the guide rails inside so people are actually selling little strips of fabric on Ebay as a solution to this. Just ridiculous. It also wobbles about when touched in the dock position (For example pressing the power key)What was stopping Nintendo from designing it so the console slides in smoothly with some soft material on the inside to protect the touchscreen and make the console sit flush and secure? At £80 for the dock that should be expected at the very least.You connect the cables behind a flap on the dock and feed them through a hole at the bottom. Why are the ports above this opening so the cables have to bend downwards putting tension on the connections for no reason. I know that's nitpicking to the extreme but its like connecting your phone to a charger and pulling on the cable in the opposite direction constantly just causing unnecessary wear over time. Again I wouldn't care if a replacement dock didn't cost £80!WIFIThe WiFi signal is atrocious because Nintendo has decided to be cheap and use an inferior WiFi chip when making the console. These things aren't even that expensive for a quality WiFi  chip so I just don't understand why they would do this especially when the console has no ethernet connection. Many people receive just one bar of signal even when 2 feet from their router. This impacts download speeds and Online Multiplayer connection.joyCONSThe Con part they got right. Retail Price between £65 and £80 if you want a fancy colour (For reference a Dual Shock 4 Controller for the PS4 costs around £40-£45.Again perhaps this would be forgivable if they were built well but there are endless complaints of drift issues with the analogue sticks after just a few months (Drift meaning when not even being touched during gameplay the game thinks they are so causes the camera or character to move unintentionally rendering the controllers useless)On top of this the Bluetooth connection is poor and they are susceptible to random disconnects. It was said Nintendo had moved the antennas to fix this issue but even on this v2 console I had a disconnect just the other day.Some solutions Nintendo provide is to keep your console away from other consoles, devices that use WiFi, speakers, cables... Basically if you want them to work flawlessly you need a laboratory environment. Again utterly ridiculous. How can we accept this poor quality when the PS4 and Xbox controllers are cheaper and have almost Zero issues?ACCESSORIESOnly with Nintendo consoles will you find an endless amount of accessories either from Nintendo themselves or third party manufacturers.Nintendo generally sell anything to further cash in on consumers such as the plastic steering wheels, Labo kits or their new upcoming plastic hoop which appears to be trying to recreate the success of the Wii Fit. It should be noted that none of these products contain any functional technology. All the guts of what makes them work is in the JoyCon controllers  you already own which feature a range of sensors such as accelerometers, gyro sensors and motion cameras. Basically you're buying plastic junk. Some people are ok with that but im not into it.The third party manufacturers on the other hand often sell accessories to solve problems with the console that shouldn't be there in the first place. To name a few..Screen Protectors - Nintendo don't supply any with the console so be sure to purchase one if you buy the SwitchThird Party Docks - Retail much cheaper than the official Nintendo Dock however I do not recommend them. Third party manufacturers often use inferior components and If its something that's going to be directly connecting to your Switch there's the possibility of it bricking your console.Dock Sock - A piece of fabric that covers the Switch Dock to prevent the screen from scratching when dockingPower Banks - An additional large battery that can be used to charge your console. Useful for people who like to play in handheld mode a lot.Stands - Various stands designed to prop up the Switch more securely than the flimsy kickstand is capable of with more adjustability.Im sure there's many more but I would be here all day.WHATS THE REAL PRICE OF THE SWITCH?You're likely going to spend more than £280 if you buy a Switch. The first reason being the Switch only comes with 32GB of storage of which only 25GB of that is available. For reference games like Doom and Skyrim on the Switch are pushing 20GB in download size each if you purchase them digitally on the eshop. So you've already used up all your storage on one game.This next one is debatable but one could argue that the Pro Controller sold separately is a must if you intend to do any serious gaming or play online. The JoyCons just don't cut it when it comes to precision and comfort, the buttons are small and the analogue sticks have such a small movement area that playing any kind of online shooter would be a nightmare. So now you need the console, an SD Card, a screen protector, a controller and lets go crazy and say you perhaps want a game with it too. Lets do the math.Nintendo Switch Console £280Screen Protector £10128GB SanDisk SD Card around £20Pro Controller £60Mario Odyssey £40Total £410For comparison i purchased my PS4 in 2015 for £290 and that came with The Witcher 3 Free. Even better Amazon are currently selling a PS4 bundle with Horizon Zero Dawn, Uncharted and The Last of Us all for £270. You'd pay half that price just buying 3 Nintendo games alone.Its somewhat questionable when the most underpowered console is the most expensive to buy..THE USER INTERFACEThis could really use some work. The console has been out for 2 years now and the design of the Main home screen is looking dated. No real changes appear to have been made since release. The icons along the bottom look like they could have been from a late 90s computer programme. Not to mention the complete silence of the home screen.Im so used to the PS4 booting up with the ambient theme music that I thought I had the sound muted initially but no there just isn't any. Its a small detail but hearing that music before you start a game really puts you in the zone. Its a cue to forget anything else going on in your life and just chill out for a few hours. Does anyone remember the iconic PsOne boot up sound? That ominous music as you turned on your console was some great sound design.With the Switch its like booting up into a void of emptiness. It doesn't set any kind of atmosphere, nothing is drawing me in to start up that new game other than the urge to get off the silent home screen as quick as possible. There's no real personality or identity to it. Maybe im getting too metaphysical for a console review but something definitely feels missing.The only option you have is to choose a white or dark theme which as you would expect does nothing more than change the background colour. Its in serious need of some personalization. I've heard the DS has an endless amount of Themes to choose from so why Nintendo hasn't implemented anything like this in 2 years for the Switch is mind boggling.GAMES & DEMOGRAPHICSince the days of the Original Wii console Nintendo have focussed on appealing to the more casual gamers going so far as to extend their marketing to an older generation who may have never thought about owning a console with the release of the Wii Fit. At the same time maintaining their core fanbase with regular releases of Nintendo classics that everyone loves.With the Switch it looks like they aim to build on this further with their upcoming ""Ring Fit"" which appears to be a Pilates Ring which you can strap some Joycons to. In addition to this the portability of the Switch makes it popular with kids and teens. In other words Nintendo seems to be trying to cover all bases and its paying off for them as the console Is selling really well.Its definitely a console you could take out at a party and get everyone involved. There's several party games on the Switch that are easily accessible to even the most inexperienced player.There's also a huge selection of first party exclusive games suitable for kids - Mario, Mario Kart, Donkey Kong etc.Where it falls behind in comparison to the PS4 would be in story driven single player games and mature content. While the Switch has some titles aimed at an older audience such as Astral Chain and Bayonetta these games seem to have a heavy Japanese influence and the style of them may not be for everyone. I don't even think Nintendo are trying to compete with Sony in this area, they are taking a different path. Definitely worth thinking about when purchasing as there is a distinct difference between the two consoles and types of games you will be playing. My preference leans more towards Sony when I want to get into a good story driven game.GRAPHICSIn terms of graphics very little has improved from their previous console the Wii U. In fact comparing Zelda Breath of The Wild on the Wii U and Switch they appear to look almost identical. The Switch can output a max resolution of 1080p when docked depending on the game. This does leave it trailing behind the PS4 Pro and Xbox One X which both support 4k resolutions. This noticeable difference in performance will only be amplified in a few months time when the PlayStation 5 and new Xbox console are released. The Switch will be so far behind the competition at that point it makes me wonder how much support Nintendo will get from third party developers.However I will say what the Switch lacks in graphical power it makes up for in art design. Games like Zelda and Astral Chain look stunning and really push the console to its limits. Quite impressive when you consider its small form factor and portability.THE NINTENDO TAXNintendo games have always been more expensive than their competitors. As a kid it was often impossible to get a brand new N64 game for Christmas because even then the prices were pushing £60 on some titles. My parents could never justify paying that amount for one game especially back in those days so would often buy Pre-Owned to save a few pounds and i'd get a game in a squashed crumpled box because Nintendo sold their games in cardboard packaging back then for some reason.Fast forward several console generations later and it appears this tradition is still going. A good example is Super Mario Bros on the DS. This game was released way back in 2006 and is still being sold on Amazon and GAME new for £30-£40. Cheaper than at release im sure but for a 13 year old game its held its price pretty damn well.A more recent example would be Zelda Breath of the Wild. This game is 2 years old and is still being sold at full price £47.99 on Amazon. Even crazier GAME sell it Pre-Owned for the same price they sell it new. I could quite easily go into a rant about why I hate GAME stores right now but this review is already too long. Needless to say that example is just one of many of GAME stores trying to rip customers off.Also consider the fact a lot of the Switches games are just ports from the Wii U. To name a few.. Bayonetta, Donkey Kong, Hyrule Warriors, Mario Kart 8, Zelda. Don't expect the price to be any cheaper on that basis however.This only emphasises my point earlier that the Switch is an expensive console to own. You're never going to be able to pick up a first party title for half price if you wait a few years. Sony is a lot more forgiving in this regard and you can often find their exclusives selling for £15-£20 after a couple of years.CONCLUSIONI've always had the same problem with Nintendo consoles. I get hooked into buying them because of that one great game they have -  Zelda, Metroid, Super Smash Bros etc. But after im done with those what's left to choose from never quite reaches that same level of greatness. For playing single player games only it can fall a bit short in comparison to Sony who are constantly developing amazing story driven experiences - God Of War, Horizon Zero Dawn, The Last Of Us, Uncharted, Bloodborne, Death Stranding. Admittedly catering to an older audience.The Switch has the fun factor on its side however. Getting the whole family involved in a party game at Christmas, wirelessly connecting your Switch with a group of friends for some local multiplayer gaming or taking the console with you on long trips will all be big draws to some. Nintendo are probably the most accommodating to a younger audience also.Ultimately It comes down to personal preference. There's a lot to like but a lot where Nintendo should be trying harder to keep pace with Sony and Microsoft. With the Failure of the Wii U console it seems they may have rushed the Switch out the door resulting in a console which isn't quite as refined as it should be. Combined with a smaller library of games and limited third party support it doesn't quite meet the mark for a perfect score.And that's my review of the Nintendo Switch. I salute you if you made it to the end.Full disclosure I purchased my console from Argos as the deal was £300 with a game. I also have no bias to either Nintendo, PlayStation or Xbox and have owned all 3 in some iteration over the years.",Reviewed in the United Kingdom on 8 September 2019
5.0 out of 5 stars,Fantastic Console That Now Has Improved Battery Life,TOP 500 REVIEWER|Verified Purchase,"Your browser does not support HTML5 video.
  
  
    
   I have been looking to buy the Nintendo Switch for some time, but held off as I knew a new version would come out.This version, model number HAC-001(-01), has the same battery as the original Switch, but the CPU is now more efficient. This is why battery life is around double of what the original system offered.In the box you will get:* Nintendo Switch tablet* Joy-Con Controllers* Joy-Con straps* Nintendo Switch Dock* AC Power Adapter (with type C connection)* Nintendo-branded HDMI cable* ManualApart from the new model number being displayed in the back, this new version looks identical to the original. As such, it will work with all original Nintendo controllers, cases, screen protectors, and other accessories.I've played the Switch a lot at my friend's house. It's a great system. You can play on the move, with friends on a train, or on your television using the docking station. This makes it a better option than the lite in my opinion, particularly as battery life is longer.Recommended.",Reviewed in the United Kingdom on 1 September 2019
5.0 out of 5 stars,Newest model/version [Updated],,"[Update Oct 2020]Approximately a year after purchase, the left joycon (controller) would start disconnecting/reconnecting and the joystick failed to ""register"" properly in one direction.  This was shipped to Nintendo's UK Service Centre and repaired, completely free of charge.  Note it was within 12 months and therefore within warranty, though I was still quite pleased at the simplicity and convenience of the repair service.Aside from that, everything's still great, and I'll admit I've dropped it a couple times![Original Review]Newest model/version with double battery life, get this over the other unless you care for the £30 voucher, as this does NOT come with a voucher.Personally, I'd recommend getting this and buying your games as physical copies, as they're cheaper that way and have the resale value/aspect too.  You can also buy games in used condition, as they're not like discs where they scratch - they're perfectly fine.Not used much as of yet, though it came with 50% battery charge, and controller charges of approx. 75%.Display is bright and consistent, no faults such as dead pixels, on my unit at least.Device is well packaged, with components individually wrapped in protective bags and/or bubble wrap.  Whilst it may not be very environmentally friendly, they do help protect the items somewhat, and are very easy to remove.Does not come with a screen protector, at all.Entire box itself came packaged within a standard Amazon-branded box - perfect if hiding from a gift recipient.Includes a HDMI cable, appears to be 1m long.",Reviewed in the United Kingdom on 31 August 2019
1.0 out of 5 stars,I wan Refund please got the damage,Verified Purchase,"Your browser does not support HTML5 video.
  
  
    
   I wan refunds pls got Damage in the need to be burnt",Reviewed in the United Kingdom on 24 September 2019
1.0 out of 5 stars,Not NEW,Verified Purchase,Sold as NEW but damaged back speaker and when I switched it on it was logged into someone else’s account.,Reviewed in the United Kingdom on 20 December 2019
5.0 out of 5 stars,Fun in a box!,Verified Purchase,"Where to begin?This console has been my first in a while, the last being a PS2. Growing up on NES and SNES and N64 has probably engendered some Nintendo bias my way but a PS1,PS2 and an Xbone have also resided under my roof too at various points!The console is a bit expensive and the games aren't cheap either. That being said there are some decent indie games on the online store and a lot of the games have high amounts of replayability/game time so from that perspective present great value for money.The switch is made better by the addition of people - friends preferably! It is clearly meant for multiplayer applications but equally is comfortable as a portable gameboy-esque device for solo, on the go, play as well.Considering its size and hardware the performance is excellent. The game library has more interesting offerings to me compared to the first-person-shooter obsession that seems to exist on xbone/ps4.I will reiterate - it *is* expensive considering its size etc and the fact that you'll probably need a controller or two and a memory card and probably a carrying bag as well as games. However it's not something I regret getting and have been having immense fun with it. What I would suggest is to research what games you want to play and would get enjoyment from.",Reviewed in the United Kingdom on 10 October 2019
5.0 out of 5 stars,New Switch/Switch V2 Perfect order,Verified Purchase,"Great console, its the new version with the better chip that increases battery time, also has some differences in the screen (it's brighter and has better color temperature). The order was fast and the switch arrived with no damage.",Reviewed in the United Kingdom on 4 September 2019
4.0 out of 5 stars,"Battery improved, that's it",TOP 500 REVIEWER|Verified Purchase,"The Switch is an excellent piece of kit. We all know that now it's been around for a couple of years and has some solid grade A games behind it. But as far as console updates go this is somewhat dissapointing. All that's been improved here is the battery, yeah, that's it. To be honest the battery did need improving, especially for the on the go portable gamers. However, not to do anything else is somewhat of a dissapointment.",Reviewed in the United Kingdom on 26 September 2019
5.0 out of 5 stars,"Fantastic, would have been hard to survive lockdown without this",Verified Purchase,"Your browser does not support HTML5 video.
  
  
    
   This was a birthday present to the 5 year old, that came at the right time for us, as we are spending lockdown in a rather small flat, with three kids.Before I describe the specs of the Switch, I'd like to explain why this was selected instead of the Switch Light or the more expensive PS or Xbox.Our older kids are 5 and 6, which is almost the age when they can ""do it themselves"", but not quite there yet. The operation functions of Nintendo Switch are easily learnt, the kids can set it up themselves and the variety of games Nintendo offers is often in the right mind for children this age - i.e. not so sophisticated or complicated that they would need an adult's help. The Switch Light is a good option of course, especially for a kid with no siblings, but without the ability to hook the console to the tv, it's going to be harder to turn this into a multi participation venue, i.e. only one kids at a time.With the Nintendo Switch, we often see the kids opt for TV game mode, and we can all participate in active games such as ""Just Dance"" or ""Tokyo 2020 Olympics"", which the game rewards them through actual movement.Why not PS or Xbox? Well, they're more expensive and as described above sophisticated. So, if you have a very technical child of 10+ maybe they are the better option. For us, the fact that they can hook up the controller themselves and the games are plain and simple was the selling point.What's in the box?===============The Switch condole, a tv hookup hub, a charging cable, 2 Joy Cons (note - 2 Joy Cons makes one whole controller in essence, and some games would require them as such, i.e. you need both per user), and one Joy Con Grip (to combine them to one controller).Game modes:============- The solo mode, as seen on the second picture/the video, provides the kids hours of fun on their own.- The TV hookup (photo 3)1) You can play solo with a big screen. Easy to setup - you just need an empty socket near the tv and an HDMI connection. You then can use the two Joy-Con's with the the controller hub that comes with the switch.2) Another option (for games which allow it) is to use each Joy-Con as a solo controller. The Joy-Cons are gyroscopic and feel the hand movement, so you can play ""Just Dance"" or ""Mario Kart"" by moving your hands around. they even provide feedback in terms of vibrations, and remind of the old Wii consoles.- Detaching the JoyCons and using the console as a small screen, this is the worst option but it works too, there's a small leg that allows the console to stand upright (but it tends to fall off, a bit of a design flaw that is negligible since this game mode is not the best anyways).To sum up all the Pro's: hours of fun, interactive games which will keep the kids fit not just in 'zombie' mode, dual game mode as mentioned and adequate for kids up from the age of 5 to setup on their own.To add to that: there are dozens of game around, with genres that fit just about anyone.Con's:=====Not all is perfect with the Nintendo Switch and here are some faults and the way to overcome them (if applicable):- The games are expensive. A new game is around £40, which is not optimal when you want the kids to have a variety. Also, if you bought a game that they didn't like/can't handle - that's money down the toilet.Luckily, the Nintendo Shop has previous and free periods that allow you to test games (but we don't really bother with these).- The Switch comes with two Joy Cons. If you want to play more than two people you will have to get another set, and another grip. while this is relatively cheap, you will then want a charging dock, so you won't have to rotate between them, and it doesn't really end...- You would probably want a screen protector, a travel case, and a few more games... so again when it comes to costs, add at least £100-150 to the original price (and prob more).- The worst thing is the need to subscribe to the Nintendo Shop to be able to play online multi games in several games. this is downright infuriating, as you need to pay for something you already paid for. However, we found that we enjoy the games without the online option as it is.Good games to start with:=====================- Animal Crossings New Horizons - especially for calmer kids who likes building and strategy.- Mario Kart - this is brilliant, the superlatives this game has received are very just, it provides several game modes and hours of fun for all of the family (I enjoy playing with the kids myself, and we get quite competitive)- Just Dance - a good workout in form of dancing with the Joy Cons which will provide hours of fun, but each participant needs a JoyCon.Hope this helped someone to decide whether to get one or not. and If not - feel free to ask questions or comment, or vote this 'helpful' if indeed it was. Thanks and Game on!",Reviewed in the United Kingdom on 7 February 2021
5.0 out of 5 stars,Finally handheld gaming that doesn't leave you feeling short changed,Verified Purchase,"I have had many of the previous handheld consoles, but the games always left me feeling I have been short changed compared to their home console version (even the PS Vita which, despite having so much potential, ended up having  the Nintendo 3DS version of ports). The reviews of Witcher 3 sold the Nintendo Switch to me and I enjoy it on the Switch as much as my first play through on the X Box One S.In the 5 months I have had the Switch, I have only played it docked once (on my first day just to check it worked). I choose the Switch over Switch Lite for the following reasons:1. There is a lot of internet comment about the joy stick drifting, so I thought having detachable joy cons will make it easier to replace any faulty joystick. (No drifting in over 5 months of ownership)2. Bigger screen3. Longer battery life4. Even though I knew I was going to be playing in handheld, I wanted the option of the other modes for future proofing.The only downside of the Switch is that the games are more expensive compared to the home consoles.",Reviewed in the United Kingdom on 25 May 2020
